model,seed,alpha,shield,kappa,v_scale,mean_drift,baseline_nll,n_prompts,elapsed_s,bank_col_sum_p99,bank_col_sum_p50,bank_col_sum_mean,attn_entropy_bank_mean,attn_entropy_native_mean,m_perp_energy_ratio_mean,residual_norm_p50,residual_norm_p99
Qwen/Qwen2.5-0.5B,0,16.0,True,1.0,False,6.249879622459412,3.1918787558873496,30,24.39,767.2674523925782,11.00032091140747,61.120323181152344,1.6002000570297241,2.604466676712036,0.0,17.80562114715576,89.47347526550296
Qwen/Qwen2.5-0.5B,0,16.0,True,2.0,False,7.878666853904724,3.1918787558873496,30,23.93,747.1967407226564,11.041740894317627,62.83180236816406,1.5738613605499268,2.680025100708008,0.0,24.71802520751953,93.29034957885763
Qwen/Qwen2.5-0.5B,0,16.0,True,4.0,False,8.720810675621033,3.1918787558873496,30,24.65,671.1912036132815,12.193130493164062,62.31711196899414,1.6138570308685303,2.9029977321624756,0.0,40.449127197265625,115.27491722106954
Qwen/Qwen2.5-0.5B,0,16.0,False,1.0,True,12.11766746044159,3.1918787558873496,30,24.49,583.6289709472658,11.000566005706787,55.267086029052734,1.6438075304031372,3.6429052352905273,0.0,186.16631317138672,300.0199630737305
Qwen/Qwen2.5-0.5B,0,16.0,True,1.0,True,3.4215866645177204,3.1918787558873496,30,24.19,700.1231628417977,12.202533721923828,58.33932876586914,1.6958094835281372,2.64493989944458,0.0,15.216619491577148,95.99084167480473
Qwen/Qwen2.5-0.5B,0,16.0,True,2.0,True,5.572360094388326,3.1918787558873496,30,24.34,757.9929638671875,10.5186185836792,59.912635803222656,1.610464096069336,2.6245651245117188,0.0,16.633466720581055,87.9294403076172
Qwen/Qwen2.5-0.5B,0,16.0,True,4.0,True,7.5388696114222205,3.1918787558873496,30,24.12,768.4504364013675,10.77253007888794,62.574371337890625,1.5715686082839966,2.640894889831543,0.0,20.867257118225098,85.86921272277844
Qwen/Qwen2.5-1.5B,0,0.0,False,1.0,False,0.0,2.876961366335551,30,2.76,,,,,,,,
Qwen/Qwen2.5-1.5B,0,0.0,True,1.0,False,0.0,2.876961366335551,30,2.77,,,,,,,,
Qwen/Qwen2.5-1.5B,0,0.0,True,2.0,False,0.0,2.876961366335551,30,2.84,,,,,,,,
Qwen/Qwen2.5-1.5B,0,0.0,True,4.0,False,0.0,2.876961366335551,30,2.83,,,,,,,,
Qwen/Qwen2.5-1.5B,0,0.0,False,1.0,True,0.0,2.876961366335551,30,2.83,,,,,,,,
Qwen/Qwen2.5-1.5B,0,0.0,True,1.0,True,0.0,2.876961366335551,30,2.83,,,,,,,,
Qwen/Qwen2.5-1.5B,0,0.0,True,2.0,True,0.0,2.876961366335551,30,2.8,,,,,,,,
Qwen/Qwen2.5-1.5B,0,0.0,True,4.0,True,0.0,2.876961366335551,30,2.82,,,,,,,,
Qwen/Qwen2.5-1.5B,0,0.5,False,1.0,False,4.542023507754008,2.876961366335551,30,33.39,450.4056060791014,21.510340690612793,51.172264099121094,2.081655740737915,2.4765727519989014,0.0,46.82130813598633,355.5006396484375
